speed_main,flow_main,week,flow_mean_400,speed_mean_400,flow_mean_406,speed_mean_406,flow_mean_412,speed_mean_412,flow_mean_427,speed_mean_427,flow_mean_432,speed_mean_432,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,timeframe6,timeframe7,timeframe8,timeframe9
115.74,2093,36,2045,114.53,1864,113.74,1942,114.05,1986,117.85,2547,112.57,0,0,0,0,0,0,0,0,0,1,1,0,0,0
111.45,2135,38,2168,117.85,1888,113.63,2098,109.29,2015,111.56,2584,107.25,0,0,0,0,0,0,0,0,0,1,1,0,0,0
113.23,1979,39,2012,115.44,2170,111.77,2203,113.47,2175,110.68,2659,107.67,0,0,0,0,0,0,0,0,0,1,1,0,0,0
113.9,2543.77,29,2767.92,111.88,2719.25,109.51,2731.7,109.89,3007.92,107.88,3032.83,105.75,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86.47,2426.44,51,2503.73,86.82,2523.05,85.77,2511.86,85.47,2956.27,84.45,2947.12,83.28,1,0,0,0,0,0,0,0,0,0,0,1,0,0
89.83,3063,3,3364,88.07,3354,84.61,3342,84.06,3793,81.35,3812,84.83,0,1,0,0,0,0,0,0,0,0,0,1,0,0
106.47,3368,5,3700,104.32,3702,101.77,3704,102.17,4153,96.72,4148,94.42,0,1,0,0,0,0,0,0,0,0,0,1,0,0
106.38,3155,10,3435,105.32,3442,103.8,3443,105.6,3953,98.6,3975,97.61,0,1,0,0,0,0,0,0,0,0,0,1,0,0
107.85,3088,13,3399,105.41,3380,104.64,3398,105.42,3869,96.45,3904,96,0,1,0,0,0,0,0,0,0,0,0,1,0,0
106.37,3148,18,3442,104.64,3428,103.11,3435,104.9,3706,100.14,3722,99.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
86.07,3038,22,3276,85.69,3276,81.77,3271,85.86,3649,82,3649,87.73,0,1,0,0,0,0,0,0,0,0,0,1,0,0
108.1,3440,23,3715,105.85,3731,104.43,3729,105.08,4157,98.86,4138,97.89,0,1,0,0,0,0,0,0,0,0,0,1,0,0
107.66,3451,24,3716,104.83,3736,103.26,3722,104.76,4102,100.16,4113,99,0,1,0,0,0,0,0,0,0,0,0,1,0,0
108.57,3154.74,28,3340,107.51,3349.47,106.09,3353.68,106.76,3510.53,103.1,3580,103.62,0,1,0,0,0,0,0,0,0,0,0,1,0,0
112.08,2675.79,33,2977.89,109.76,2964.21,107.86,2974.74,107.75,3512.63,103.62,3509.47,102.11,0,1,0,0,0,0,0,0,0,0,0,1,0,0
109.93,3126,35,3409,107.19,3443,105.26,3445,105.4,3800,100.15,3816,98.83,0,1,0,0,0,0,0,0,0,0,0,1,0,0
88.94,3325,40,3589.66,90.78,3545,82.23,3540,88.2,3908,82.95,3916,87.55,0,1,0,0,0,0,0,0,0,0,0,1,0,0
106.01,3073,42,3338,102.35,3355,99.59,3358,100.37,3591,92.19,3597,91.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0
105.43,3345,43,3638,103.13,3661,100.88,3634,101.49,3924,96.69,3928,97.06,0,1,0,0,0,0,0,0,0,0,0,1,0,0
107.54,3271,44,3544,104.69,3552,102.77,3577,104.1,3972,98.87,3983,98.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0
106.85,3419,45,3742,103.94,3765,102.07,3744,102.6,4043,98.62,4056,97.41,0,1,0,0,0,0,0,0,0,0,0,1,0,0
105.41,3304,49,3669,101.84,3644,99.12,3641,100.6,3871,95.35,3871,95.03,0,1,0,0,0,0,0,0,0,0,0,1,0,0
114.07,1477,52,1618,113.38,1630,111.37,1626,109.43,1809,109.34,1806,108.33,0,1,0,0,0,0,0,0,0,0,0,1,0,0
104.36,3313,4,3591,102.11,3592,99.84,3573,101.4,3862,97.06,3866,95.91,0,0,1,0,0,0,0,0,0,0,0,1,0,0
101.9,3213,6,3428,100.66,3431,98.81,3391,100.19,3790,89.47,3779,91.45,0,0,1,0,0,0,0,0,0,0,0,1,0,0
106.19,3360,22,3649,105.02,3642,103.91,3193,105.65,3945,99.39,3962,98.71,0,0,1,0,0,0,0,0,0,0,0,1,0,0
108.2,3484,25,3753,104.89,3756,102.89,3765,104.52,3970,96.51,3983,98.91,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110.46,2786.25,29,3099.23,108.46,3028.97,106.42,2943.75,107.9,3406.67,103.2,2992.26,103.58,0,0,1,0,0,0,0,0,0,0,0,1,0,0
112.61,2323.85,31,2486.67,111.5,2616,109.79,2380,110.6,2808,108.92,2766.92,107.13,0,0,1,0,0,0,0,0,0,0,0,1,0,0
